"","id","Date","GameID","play_id","Drive","qtr","TimeSecs","posteam","DefensiveTeam","down","ydstogo","yrdline100","play_type","net_yards","GoalToGo","FirstDown","sp","Touchdown","ExPointResult","TwoPointConv","Fumble","RecFumbTeam","PosTeamScore","DefTeamScore","ScoreDiff","AbsScoreDiff","Safety","FieldGoalResult","ReturnResult","InterceptionThrown","HomeTeam","AwayTeam"
"1",1,"8/25/2017","2017082500",1,1,1,2880,"MC","LV",NA,0,40,"Kickoff",75,0,NA,NA,0,NA,NA,NA,"",0,0,0,0,0,NA,NA,0,"LV","MC"
"2",2,"8/25/2017","2017082500",2,1,1,2860.5405,"MC","LV",1,10,75,"Run",1,0,NA,NA,0,NA,NA,NA,"",0,0,0,0,0,NA,NA,0,"LV","MC"
"3",3,"8/25/2017","2017082500",3,1,1,2841.0811,"MC","LV",2,9,74,"Pass",0,0,NA,NA,0,NA,NA,NA,"",0,0,0,0,0,NA,NA,0,"LV","MC"
"4",4,"8/25/2017","2017082500",4,1,1,2821.6216,"MC","LV",3,9,74,"Pass",0,0,NA,NA,0,NA,NA,NA,"",0,0,0,0,0,NA,NA,0,"LV","MC"
"5",5,"8/25/2017","2017082500",5,1,1,2802.1622,"MC","LV",4,9,74,"Punt",NA,0,NA,NA,0,NA,NA,NA,"",0,0,0,0,0,NA,NA,0,"LV","MC"
"6",6,"8/25/2017","2017082500",6,2,1,2782.7027,"LV","MC",1,10,60,"Run",2,0,NA,NA,0,NA,NA,NA,"",0,0,0,0,0,NA,NA,0,"LV","MC"
"7",7,"8/25/2017","2017082500",7,2,1,2763.2432,"LV","MC",2,8,58,"Run",0,0,NA,NA,0,NA,NA,NA,"",0,0,0,0,0,NA,NA,0,"LV","MC"
"8",8,"8/25/2017","2017082500",8,2,1,2743.7838,"LV","MC",3,8,58,"Pass",0,0,NA,NA,0,NA,NA,NA,"",0,0,0,0,0,NA,NA,1,"LV","MC"
"9",9,"8/25/2017","2017082500",9,3,1,2724.3243,"MC","LV",1,10,55,"Run",1,0,NA,NA,0,NA,NA,NA,"",0,0,0,0,0,NA,NA,0,"LV","MC"
"10",10,"8/25/2017","2017082500",10,3,1,2704.8649,"MC","LV",2,9,55,"Run",5,0,NA,NA,0,NA,NA,NA,"",0,0,0,0,0,NA,NA,0,"LV","MC"
"11",11,"8/25/2017","2017082500",11,3,1,2685.4054,"MC","LV",3,9,50,"Pass",0,0,NA,NA,0,NA,NA,NA,"",0,0,0,0,0,NA,NA,0,"LV","MC"
"12",12,"8/25/2017","2017082500",12,3,1,2665.9459,"MC","LV",4,9,50,"Punt",0,0,NA,NA,0,NA,NA,NA,"",0,0,0,0,0,NA,NA,0,"LV","MC"
